,ID,Population,Location,Taxon,CL,CorneaA,EyestalkW,Cornea.EW,CorneaW,CorneaA.EW.CL,CorneaW.EW,CorneaW.EW.CL,EyestalkLength,Crest Angle,Concave Angle,Eyestalk Gap,MaCPropodusL,MaCPropodusH,MaCCarpusL,MaCCarpusH,MaCPollexH,MaCDactylH,MaCPollexDactyl Gap,MaCCleftWidth,MaCPropodusL.CL,MaCPropodusL.PropodusH,MaCCleftWidth.CL,MaCPropodusH.CL,MaCCarpuL.CL,MaCCarpusH.CL,MaCPollexH.CL,MaCDactyl.CL,MaCGap.CL,WL1PollexH,WL1DactylH,WL1PropodusL,WL1CarpusH,WL1CarpusPropodusGap,WL1CarpusL,WL1CarpusA,WL1MerusH,WL1HairL,WL1PollexH.DactylH,WL1PropodusL.CL,WL1CarpusH.CL,WL1Gap.CL,WL1MerusH.CL,WL1HairL.CL,WL1PollexH.DactylH.CL,MiCPropodusL,MiCPropodusH,MiCCarpusH,MiCCarpusL,MiCDactylH,MiCPollexH,MiCMerusH,MiCPropodusL.CL,MiCPropodusH.CL,MiCCarpusH.CL,MiCCarpusL.CL,MiCDactylH.CL,MiCPollexH.CL,MiCMerusH.CL,WL2PropodusL,WL2PropodusH,WL2PollexL,WL2PollexW,WL2CarpusW,WL2CarpusL,WL2MerusW,WL2PropodusL.CL,PropodusH.CL,WL2PollexL.CL,WL2PollexW.CL,WL2CarpusW.CL,WL2CarpusL.CL,MerusW.CL
1,A1,EstGigas,Estuary,N. gigas,37.314,0.184,2.543,0.072355486,0.463,0.001939098,0.182068423,0.00487936,4.577,131.265,169.239,1.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.212,2.366,6.783,5.605,0.848,10.005,39.552,5.057,8.836,1.357565511,0.181781637,0.150211717,0.022726055,0.13552554,0.236801201,0.036382203,14.647,5.723,5.964,17.392,3.025,2.827,4.787,0.392533633,0.153374069,0.159832771,0.466098515,0.081068768,0.075762448,0.12828965,9.594,4.871,3.808,1.886,5.146,9.495,3.433,0.257115292,0.130540816,0.102052849,0.050544032,0.137910704,0.254462132,0.092003002
2,A3,EstGigas,Estuary,N. gigas,27.013,0.364,2.213,0.164482603,0.517,0.006089017,0.233619521,0.008648411,4.44,147.315,138.18,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.685,2.278,6.7,5.241,1.161,9.165,44.947,4.695,7.554,1.178665496,0.248028727,0.194017695,0.042979306,0.173805205,0.279643135,0.043633269,13.55,5.604,6.269,15.077,2.213,2.152,5.57,0.501610336,0.207455669,0.232073446,0.558138674,0.081923518,0.079665346,0.206197016,8.555,3.914,3.332,1.275,4.585,8.309,3.807,0.316699367,0.1448932,0.123348018,0.047199497,0.169733091,0.307592641,0.140932144
3,A4,EstGigas,Estuary,N. gigas,32.607,0.268,2.532,0.105845182,0.479,0.003246088,0.189178515,0.005801776,4.889,132.016,166.446,NA,17.503,9.168,11.324,9.334,3.514,0.701,0,1.205,0.53678658,1.909140489,0.036955255,0.281166621,0.347287392,0.286257552,0.107768271,0.021498451,0,2.815,2.316,5.571,5.869,1.169,9.13,42.019,5.225,9.288,1.215457686,0.170852884,0.179992026,0.035851198,0.160241666,0.284846812,0.037275974,12.081,5.295,6.143,14.315,1.852,2.008,5.303,0.370503266,0.162388444,0.18839513,0.439016162,0.05679762,0.061581869,0.16263379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,A5,EstGigas,Estuary,N. gigas,14.651,0.27,2.333,0.115730819,0.483,0.007899175,0.207029576,0.014130747,3.93,127.825,155.472,1.03,16.716,9.213,10.344,8.611,3.276,3.376,0,0.406,1.140946011,1.814392706,0.027711419,0.628830797,0.706026892,0.587741451,0.223602484,0.230427957,0,2.66,2.127,7.041,4.884,0.834,8.398,50.226,4.553,8.766,1.250587682,0.48058153,0.333356085,0.056924442,0.31076377,0.598320934,0.08535852,12.16,4.536,NA,NA,2.323,1.803,NA,0.829977476,0.30960344,0,0,0.15855573,0.123063272,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,A6,EstGigas,Estuary,N. gigas,24.872,0.249,2.379,0.104665826,0.426,0.004208179,0.179066835,0.007199535,4.48,117.35,163.998,1.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.383,2.558,9.338,7.017,1.19,NA,NA,NA,NA,1.713448006,0.375442264,0.282124477,0.047844966,NA,NA,0.06889064,15.36,5.869,6.506,18.005,3.019,2.282,6.048,0.617561917,0.235968157,0.261579286,0.723906401,0.121381473,0.091749759,0.243165005,11.67,5.881,4.529,1.992,4.976,9.586,4.794,0.469202316,0.236450627,0.182092313,0.080090061,0.200064329,0.385413316,0.192746864
6,A7,EstGigas,Estuary,N. gigas,37.309,0.365,2.748,0.132823872,0.519,0.003560103,0.188864629,0.005062173,4.631,125.16,148.995,1.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.702,2.388,8.357,6.375,0.941,NA,NA,NA,NA,1.550251256,0.223994211,0.170870299,0.025221796,NA,NA,0.04155167,15.969,5.402,NA,NA,3.322,2.15,NA,0.428020049,0.144790801,0,0,0.089040178,0.057626846,0,11.211,5.489,4.268,2.095,5.916,NA,NA,0.300490498,0.147122678,0.11439599,0.056152671,0.158567638,NA,NA
7,A9,EstGigas,Estuary,N. gigas,29.348,0.178,1.973,0.090217942,0.32,0.003074075,0.162189559,0.005526426,4.758,127.666,144.462,1.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.379,2.29,5.76,4.767,0.669,7.735,43.878,4.376,NA,1.038864629,0.196265504,0.162430149,0.02279542,0.149107265,NA,0.035398141,10.813,4.376,4.717,12.235,1.661,1.837,4.069,0.36844078,0.149107265,0.160726455,0.416893826,0.056596702,0.062593703,0.138646586,8.597,3.767,3.062,1.572,4.377,7.272,2.989,0.292933079,0.128356276,0.104334197,0.053564127,0.149141338,0.247785198,0.101846804
8,A12,EstGigas,Estuary,Probably gigas,10.189,0.147,0.953,0.154249738,0.331,0.01513885,0.347324239,0.034088158,1.939,133.239,170.983,0.368,6.668,4.303,5.381,4.383,1.385,1.923,0,0,0.654431249,1.549616547,0,0.422318186,0.528118559,0.430169791,0.135930906,0.188732947,0,0.998,0.848,3.076,1.807,0.365,3.98,41.051,1.83,4.581,1.176886792,0.3018942,0.177348121,0.035822946,0.179605457,0.449602513,0.115505623,5.778,2.294,2.321,5.75,1.148,0.956,NA,0.567082147,0.225144764,0.227794681,0.564334086,0.112670527,0.093826676,0,3.789,2.042,2.203,0.575,1.904,3.503,1.638,0.371871626,0.200412209,0.216213564,0.056433409,0.186868191,0.34380214,0.160761606
9,A14,EstGigas,Estuary,Uncertain,8.484,0.137,0.875,0.156571429,0.249,0.018454907,0.284571429,0.03354213,1.338,122.809,154.774,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,A15,EstGigas,Estuary,N. gigas,12.358,0.279,1.065,0.261971831,0.451,0.021198562,0.423474178,0.03426721,2.082,124.175,164.727,0.707,10.603,5.246,6.352,5.136,1.877,2.351,0,0.497,0.857986729,2.021158978,0.040216864,0.424502347,0.513999029,0.41560123,0.151885418,0.190241139,0,1.56,1.106,4.024,2.607,0.456,4.787,44.837,2.317,4.534,1.410488246,0.325619032,0.210956465,0.036899175,0.187489885,0.366887846,0.114135641,7.054,2.464,2.618,7.929,1.016,1.225,NA,0.570804337,0.199385014,0.211846577,0.641608675,0.08221395,0.099126072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,A11,EstGigas,Estuary,Probably gigas,5.473,0.136,0.735,0.185034014,0.328,0.033808517,0.446258503,0.081538188,1.037,148.978,153.65,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.432,1.212,0.676,0.45,1.191,2.069,0.821,0.444363238,0.221450758,0.123515439,0.082221816,0.21761374,0.378037639,0.150009136
