Population,CorneaA,EyestalkW,Cornea.EW,CorneaA.EW.CL,EyestalkLength,CrestAngle,EyestalkGap,WL1PollexH,WL1DactylH,WL1PropodusL,WL1CarpusH,WL1CarpusPropodusGap,WL1PollexH.DactylH,WL1PropodusL.CL,WL1CarpusH.CL,WL1Gap.CL,MiCPropodusL,MiCPropodusH,MiCDactylH,MiCPollexH,MiCPropodusL.CL,MiCPropodusH.CL,MiCCarpusH.CL,MiCCarpusL.CL,MiCDactylH.CL,MiCPollexH.CL,MiCMerusH.CL
EstGigas,0.184,2.543,0.072355486,0.001939098,4.577,131.265,1.516,3.212,2.366,6.783,5.605,0.848,1.357565511,0.181781637,0.150211717,0.022726055,14.647,5.723,3.025,2.827,0.392533633,0.153374069,0.159832771,0.466098515,0.081068768,0.075762448,0.12828965
EstGigas,0.364,2.213,0.164482603,0.006089017,4.44,147.315,0.909,2.685,2.278,6.7,5.241,1.161,1.178665496,0.248028727,0.194017695,0.042979306,13.55,5.604,2.213,2.152,0.501610336,0.207455669,0.232073446,0.558138674,0.081923518,0.079665346,0.206197016
EstGigas,0.268,2.532,0.105845182,0.003246088,4.889,132.016,1.23,2.815,2.316,5.571,5.869,1.169,1.215457686,0.170852884,0.179992026,0.035851198,12.081,5.295,1.852,2.008,0.370503266,0.162388444,0.18839513,0.439016162,0.05679762,0.061581869,0.16263379
EstGigas,0.27,2.333,0.115730819,0.007899175,3.93,127.825,1.03,2.66,2.127,7.041,4.884,0.834,1.250587682,0.48058153,0.333356085,0.056924442,12.16,4.536,2.323,1.803,0.829977476,0.30960344,0,0,0.15855573,0.123063272,0
EstGigas,0.249,2.379,0.104665826,0.004208179,4.48,117.35,1.065,4.383,2.558,9.338,7.017,1.19,1.713448006,0.375442264,0.282124477,0.047844966,15.36,5.869,3.019,2.282,0.617561917,0.235968157,0.261579286,0.723906401,0.121381473,0.091749759,0.243165005
EstGigas,0.365,2.748,0.132823872,0.003560103,4.631,125.16,1.041,3.702,2.388,8.357,6.375,0.941,1.550251256,0.223994211,0.170870299,0.025221796,15.969,5.402,3.322,2.15,0.428020049,0.144790801,0,0,0.089040178,0.057626846,0
EstGigas,0.178,1.973,0.090217942,0.003074075,4.758,127.666,1.803,2.379,2.29,5.76,4.767,0.669,1.038864629,0.196265504,0.162430149,0.02279542,10.813,4.376,1.661,1.837,0.36844078,0.149107265,0.160726455,0.416893826,0.056596702,0.062593703,0.138646586
EstGigas,0.147,0.953,0.154249738,0.01513885,1.939,133.239,0.368,0.998,0.848,3.076,1.807,0.365,1.176886792,0.3018942,0.177348121,0.035822946,5.778,2.294,1.148,0.956,0.567082147,0.225144764,0.227794681,0.564334086,0.112670527,0.093826676,0
EstGigas,0.279,1.065,0.261971831,0.021198562,2.082,124.175,0.707,1.56,1.106,4.024,2.607,0.456,1.410488246,0.325619032,0.210956465,0.036899175,7.054,2.464,1.016,1.225,0.570804337,0.199385014,0.211846577,0.641608675,0.08221395,0.099126072,0
EstGigas,0.4,1.94,0.206185567,0.021637692,2.625,114.939,0.504,0.718,0.844,2.881,1.601,0.336,0.8507109,0.302340225,0.168013433,0.035260783,4.856,2.031,1.053,0.825,0.509602267,0.213138839,0.235386714,0.576870606,0.110504775,0.086577815,NA
